Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-10-12,UTIAMC,EQ,554.0,500.0,529.95,471.1,481.5,476.2,506.48,10808276,547420976264999.94,428887,5403693,0.5
2020-10-13,UTIAMC,EQ,476.2,477.9,517.5,477.0,516.6,514.5,502.37,3544992,178089198520000.0,112115,1262863,0.35619999999999996
2020-10-14,UTIAMC,EQ,514.5,517.9,517.9,500.2,509.0,509.1,508.54,766545,38981503000000.0,38227,258799,0.3376
2020-10-15,UTIAMC,EQ,509.1,509.5,514.45,495.25,500.5,499.0,504.34,529249,26692375815000.0,20874,201369,0.3805
2020-10-16,UTIAMC,EQ,499.0,504.9,508.0,493.1,505.05,502.65,500.5,336269,16830265775000.0,14658,168864,0.5022
2020-10-19,UTIAMC,EQ,502.65,502.95,506.1,490.1,496.95,496.15,494.55,494325,24446712865000.0,38996,314084,0.6354
2020-10-20,UTIAMC,EQ,496.15,494.0,499.0,490.0,490.05,492.1,493.49,194723,9609457655000.0,14616,106261,0.5457
2020-10-21,UTIAMC,EQ,492.1,488.1,493.1,485.15,487.35,487.0,488.18,223684,10919809400000.0,10226,110862,0.49560000000000004
2020-10-22,UTIAMC,EQ,487.0,486.75,498.35,485.6,495.05,494.35,492.27,323982,15948604030000.002,12423,188425,0.5816
2020-10-23,UTIAMC,EQ,494.35,493.25,502.4,491.1,500.0,498.35,497.04,199513,9916523680000.0,9435,92606,0.4642
2020-10-26,UTIAMC,EQ,498.35,500.0,504.95,492.5,494.95,495.05,497.88,167569,8342986490000.001,8728,55368,0.33039999999999997
2020-10-27,UTIAMC,EQ,495.05,495.5,497.35,490.45,493.0,492.25,492.55,101434,4996156440000.0,8686,57440,0.5663
2020-10-28,UTIAMC,EQ,492.25,492.9,504.4,492.9,494.9,499.15,498.27,207064,10317354050000.0,10134,79357,0.3832
2020-10-29,UTIAMC,EQ,499.15,493.5,511.95,493.35,500.4,501.4,503.61,289789,14593968694999.998,18000,122397,0.42240000000000005
2020-10-30,UTIAMC,EQ,501.4,505.0,509.95,497.25,500.0,499.15,502.6,149661,7521901040000.001,8556,60462,0.40399999999999997
2020-11-02,UTIAMC,EQ,499.15,498.0,500.0,491.5,494.0,494.85,494.32,109054,5390769325000.0,6361,50590,0.46390000000000003
2020-11-03,UTIAMC,EQ,494.85,492.1,498.85,491.55,494.85,494.6,494.48,128700,6363977525000.0,5338,53652,0.4169
2020-11-04,UTIAMC,EQ,494.6,492.0,498.5,487.0,487.5,489.15,493.1,127685,6296197695000.0,5856,35714,0.2797
2020-11-05,UTIAMC,EQ,489.15,492.0,503.7,492.0,501.0,501.2,499.5,255927,12783557075000.0,12171,145420,0.5682
2020-11-06,UTIAMC,EQ,501.2,499.2,507.0,495.0,495.5,495.8,501.23,165281,8284409905000.0,9480,64404,0.3897
2020-11-09,UTIAMC,EQ,495.8,496.0,500.65,496.0,500.0,500.0,498.43,667759,33282852795000.0,25079,540346,0.8092
2020-11-10,UTIAMC,EQ,500.0,500.0,501.55,495.0,496.55,496.2,498.57,657706,32791036089999.996,26796,561640,0.8539
2020-11-11,UTIAMC,EQ,496.2,496.05,499.9,492.35,495.0,494.95,495.23,177344,8782573855000.0,6459,121852,0.6870999999999999
